domain,severity,reject_media,public_comment
2.distsn.org,silence,FALSE,null
2hu.club,suspend,TRUE,null
anitwitter.moe,silence,FALSE,null
bae.st,suspend,FALSE,
baraag.net,suspend,FALSE,
birdsite.mastodon.me.uk,suspend,FALSE,suspended because it was confusing people too much
brighteon.social,suspend,FALSE,
cawfee.club,suspend,FALSE,
chudbuds.lol,suspend,FALSE,
cofe.moe,silence,FALSE,null
comm.network,silence,FALSE,null
community.highlandarrow.com,silence,FALSE,null
daishouri.moe,suspend,FALSE,
explosion.party,silence,FALSE,null
freehold.earth,silence,FALSE,null
freespeechextremist.com,suspend,FALSE,
freezepeach.xyz,silence,FALSE,null
gab.ai,silence,TRUE,null
gab.com,suspend,FALSE,
gameliberty.club,silence,TRUE,null
gs.mon5t3r.info,silence,FALSE,null
ika.moe,silence,FALSE,null
jabb.in,silence,FALSE,null
karolat.press,silence,FALSE,null
kneegrows.top,silence,TRUE,null
kowai.youkai.town,suspend,FALSE,null
kyot.me,silence,FALSE,null
lets.saynoto.lgbt,silence,TRUE,null
loli.estate,suspend,FALSE,null
lolicon.rocks,suspend,FALSE,
manx.social,silence,FALSE,null
mastodon.loliandstuff.moe,suspend,FALSE,null
mastodon.network,suspend,FALSE,
niu.moe,silence,FALSE,null
noagendasocial.com,silence,TRUE,
not.phrack.fyi,silence,FALSE,null
npf.mlpol.net,silence,TRUE,null
pawoo.net,suspend,FALSE,null
pl.smuglo.li,silence,FALSE,null
play.xmr.101010.pl,suspend,FALSE,
pleroma.cucked.me,silence,FALSE,null
pleroma.nobodyhasthe.biz,suspend,FALSE,
pleroma.rareome.ga,silence,FALSE,null
pleroma.soykaf.com,silence,FALSE,null
poa.st,suspend,FALSE,
preteengirls.biz,suspend,FALSE,null
pridelands.io,silence,FALSE,null
rainbowdash.net,silence,FALSE,null
rapefeminists.network,silence,TRUE,null
sealion.club,silence,FALSE,null
shitasstits.life,suspend,FALSE,null
shitposter.club,silence,FALSE,null
shota.house,suspend,FALSE,Suspected CSAM
sneed.social,suspend,FALSE,
social.allthefallen.ninja,suspend,FALSE,null
social.au2pb.net,silence,FALSE,null
social.guizzyordi.info,silence,FALSE,null
social.hidamari.blue,silence,FALSE,null
social.homunyan.com,suspend,FALSE,null
social.i2p.rocks,silence,FALSE,null
social.lucci.xyz,silence,FALSE,null
social.raptorengineering.io,silence,FALSE,null
social.super-niche.club,suspend,FALSE,null
social.targaryen.house,silence,FALSE,null
social.wiuwiu.de,silence,FALSE,null
spinster.xyz,silence,FALSE,transphobia
thechad.zone,silence,FALSE,null
toot.love,silence,FALSE,null
unsafe.space,silence,FALSE,null
vampire.estate,suspend,FALSE,null
voluntaryism.club,silence,FALSE,null
weeaboo.space,suspend,FALSE,null
woofer.alfter.us,silence,FALSE,null
wrongthink.net,silence,FALSE,null
wxw.moe,suspend,FALSE,null
youkai.town,suspend,FALSE,null
zerohack.xyz,silence,FALSE,null
zztails.gay,suspend,FALSE,
zztails.online,suspend,FALSE,
zztails.wtf,suspend,FALSE,
